** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
Changsha              0.8986        0.2707       0.7174         0.6115       0.9372        0.2866       0.6365         0.5850
Chaozhou              1.4638        0.3896       0.5420         0.4672       1.6570        0.4410       0.4401         0.4111
Chengdu               0.6908        0.1909       0.7969         0.7103       0.7729        0.2234       0.6822         0.6593
Fuzhou                1.0483        0.2717       0.6697         0.5996       1.2802        0.3415       0.5652         0.5075
Guangzhou             1.2367        0.3445       0.6417         0.5169       1.2850        0.3676       0.5078         0.4842
Hankou                0.6860        0.1986       0.7917         0.7023       0.8647        0.2574       0.6408         0.6110
Jinan                 0.7150        0.2232       0.7719         0.6808       0.9130        0.2824       0.6244         0.5987
Meixian               0.9372        0.2514       0.6811         0.6277       1.2126        0.3279       0.5612         0.5212
Nanchang              1.0483        0.2890       0.6652         0.5734       1.0821        0.2960       0.6049         0.5646
Shanghai              1.3768        0.4002       0.6053         0.4586       1.1014        0.3374       0.5844         0.5242
Shuangfeng            1.1739        0.3402       0.6254         0.5242       1.1981        0.3480       0.5512         0.4951
Suzhou                1.0628        0.2955       0.6862         0.5725       1.1304        0.3279       0.5975         0.5277
Taiyuan               0.8841        0.2395       0.7040         0.6538       0.8986        0.2582       0.6492         0.6188
Wenzhou               1.5604        0.4590       0.5385         0.4058       1.4976        0.4622       0.4711         0.3915
Xiamen                1.0918        0.2886       0.6514         0.5733       2.7536        0.7296       0.3620         0.1320
XiAn                  0.8164        0.2494       0.7401         0.6391       2.8454        0.7579       0.3949         0.1233
Yangzhou              0.9758        0.2669       0.7222         0.6259       0.9179        0.2663       0.6355         0.6211
ZhongyuanYinyun       2.6570        0.6514       0.3816         0.2267       1.0725        0.2917       0.6025         0.5643
TOTAL                 1.1083        0.3071       0.6684         0.5716       1.2771        0.3607       0.5667         0.5035


** /proj/evolang2022/tiago/ST2022/data-surprise/beidazihui/solutions-0.50.tsv
Language           ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
---------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Beijing               0.8301        0.2441       0.7462         0.6467       0.9768        0.2886       0.6029         0.5818
Changsha              1.0000        0.2976       0.6890         0.5824       1.0154        0.3107       0.5928         0.5549
Chaozhou              1.6371        0.4243       0.5212         0.4235       1.7220        0.4662       0.4214         0.3740
Chengdu               0.7220        0.2035       0.7848         0.6937       0.8687        0.2558       0.6392         0.6222
Fuzhou                1.0811        0.2874       0.6701         0.5815       1.3398        0.3600       0.5362         0.4876
Guangzhou             1.2548        0.3595       0.6494         0.4938       1.3514        0.3852       0.4749         0.4645
Hankou                0.7568        0.2210       0.7704         0.6737       0.8610        0.2561       0.6392         0.6237
Jinan                 0.7683        0.2427       0.7602         0.6528       0.9691        0.2965       0.5885         0.5802
Meixian               0.9305        0.2532       0.6807         0.6220       1.2587        0.3434       0.5348         0.5013
Nanchang              1.0656        0.2974       0.6694         0.5632       1.2471        0.3470       0.5410         0.4972
Shanghai              1.3668        0.3997       0.5971         0.4609       1.2239        0.3717       0.5278         0.4737
Shuangfeng            1.1506        0.3367       0.6324         0.5354       1.3359        0.3898       0.5067         0.4562
Suzhou                1.0463        0.2947       0.6866         0.5773       1.1815        0.3469       0.5665         0.5047
Taiyuan               0.8996        0.2476       0.7041         0.6378       1.0656        0.3097       0.5885         0.5529
Wenzhou               1.5405        0.4555       0.5470         0.4076       1.5444        0.4727       0.4482         0.3781
Xiamen                1.0772        0.2902       0.6599         0.5693       2.7529        0.7335       0.3504         0.1317
XiAn                  0.8571        0.2656       0.7252         0.6155       2.7375        0.7349       0.3793         0.1487
Yangzhou              1.0232        0.2864       0.7054         0.5955       0.9653        0.2823       0.6072         0.5980
ZhongyuanYinyun       2.8185        0.6666       0.3828         0.2171       1.2239        0.3329       0.5667         0.4984
TOTAL                 1.1488        0.3197       0.6622         0.5553       1.3495        0.3834       0.5322         0.4752


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          0.6471        0.1657       0.8022         0.7558       2.6471        0.5961       0.3876         0.2602
jaru             1.2500        0.2475       0.6831         0.6328       2.8750        0.5501       0.4530         0.3071
kitemoka         3.0000        0.5272       0.4395         0.2623       4.1111        0.7170       0.3291         0.1455
more             1.3684        0.2965       0.6298         0.5481       2.2632        0.5342       0.4052         0.3052
orowin           0.7368        0.1439       0.8217         0.7498       2.5789        0.4871       0.4892         0.3412
tapakura         2.0526        0.3960       0.5516         0.4528       3.4737        0.5706       0.4020         0.2354
tora             2.1053        0.4046       0.5351         0.4404       3.3158        0.6562       0.3714         0.1589
urupa            1.2632        0.2566       0.7450         0.6126       2.8421        0.6077       0.4492         0.1959
wanyam           1.7895        0.3271       0.7089         0.4392       2.6842        0.4796       0.4749         0.3196
wari             2.0526        0.3660       0.5764         0.4409       2.8421        0.5570       0.4308         0.2892
TOTAL            1.6265        0.3131       0.6493         0.5335       2.9633        0.5756       0.4192         0.2558


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          1.5484        0.3453       0.6610         0.5128       3.0000        0.6263       0.3409         0.1970
jaru             1.9310        0.3451       0.5743         0.4637       3.5862        0.6131       0.3858         0.1826
kitemoka         3.0606        0.5152       0.4423         0.2561       4.3636        0.6894       0.2865         0.1302
more             1.7222        0.3334       0.5954         0.5148       2.8611        0.5960       0.3347         0.2170
orowin           0.9706        0.1861       0.7719         0.7089       2.8235        0.5056       0.4252         0.3211
tapakura         2.3636        0.4117       0.4919         0.3990       4.0303        0.6378       0.2948         0.1677
tora             2.3611        0.4294       0.4891         0.3865       3.7500        0.6651       0.3125         0.1459
urupa            1.8710        0.3501       0.6268         0.4367       3.1935        0.5863       0.3909         0.2363
wanyam           1.8919        0.3204       0.6274         0.4999       3.1081        0.4927       0.4261         0.3203
wari             2.4444        0.3939       0.5458         0.3689       3.1944        0.5191       0.4007         0.3196
TOTAL            2.0165        0.3631       0.5826         0.4547       3.3911        0.5931       0.3598         0.2238


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
cojubim          1.3913        0.2745       0.6443         0.6105       3.5435        0.6054       0.3129         0.1936
jaru             2.2143        0.3628       0.5788         0.4544       4.6190        0.6873       0.2533         0.1364
kitemoka         3.4615        0.5425       0.3985         0.2055       4.9231        0.7281       0.2690         0.0810
more             1.8868        0.3238       0.5665         0.5462       3.1698        0.6197       0.3147         0.2058
orowin           1.9020        0.3081       0.6210         0.4977       3.4902        0.5510       0.3266         0.2485
tapakura         2.7674        0.4430       0.4781         0.3584       4.6512        0.6661       0.2811         0.1489
tora             2.6863        0.4652       0.4508         0.3144       3.9804        0.6655       0.2593         0.1652
urupa            2.7368        0.4715       0.5438         0.2996       4.2895        0.7425       0.2773         0.1187
wanyam           2.2182        0.3461       0.5868         0.4505       3.8545        0.5705       0.3340         0.2386
wari             2.3846        0.3875       0.5381         0.3982       3.6731        0.5708       0.3491         0.2453
TOTAL            2.3649        0.3925       0.5407         0.4135       4.0194        0.6407       0.2977         0.1782


** /proj/evolang2022/tiago/ST2022/data-surprise/birchallchapacuran/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
