** /proj/evolang2022/tiago/ST2022/data-surprise/bantubvd/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
TangzhouWesternSandong       0.1238        0.0314       0.9715         0.9462       0.8857        0.2371       0.7221         0.6391
TingpaiWesternSandong        0.1143        0.0300       0.9643         0.9502       0.8476        0.2232       0.7382         0.6643
ZhongheCentralSandong        0.0571        0.0154       0.9834         0.9726       0.8857        0.2340       0.7318         0.6388
TOTAL                        0.1607        0.0396       0.9507         0.9355       0.9060        0.2352       0.7198         0.6410


** /proj/evolang2022/tiago/ST2022/data/castrosui/solutions-0.20.tsv
Language                  ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AntangWesternSandong         0.1429        0.0350       0.9564         0.9415       1.0524        0.2744       0.6670         0.5976
BanliangYangAn               0.3286        0.0850       0.8911         0.8617       1.1333        0.2926       0.6423         0.5806
DujiangEasternSandong        0.0762        0.0186       0.9796         0.9680       1.0476        0.2713       0.6755         0.5958
JiaoliPandong                0.4524        0.1093       0.8494         0.8306       1.2095        0.2986       0.6289         0.5771
JiarongSouthernSandong       0.2048        0.0514       0.9302         0.9150       1.1571        0.2979       0.6411         0.5681
JiuqianSouthernSandong       0.1286        0.0301       0.9590         0.9481       1.1000        0.2863       0.6579         0.5885
Pandong                      0.3095        0.0684       0.8838         0.8916       1.0476        0.2607       0.6592         0.6131
RenliEasternSandong          0.1429        0.0324       0.9530         0.9446       1.0238        0.2625       0.6727         0.6160
SanjiangEasternSandong       0.1190        0.0290       0.9603         0.9526       0.9952        0.2571       0.6858         0.6220
ShuigenCentralSandong        0.1143        0.0280       0.9625         0.9550       1.0429        0.2709       0.6697         0.6012
ShuiweiSouthernSandong       0.1571        0.0394       0.9446         0.9399       1.0810        0.2790       0.6618         0.5918
ShuiyaoSouthernSandong       0.2190        0.0531       0.9211         0.9121       1.1000        0.2845       0.6584         0.5848
TangnianYangAn               0.3048        0.0775       0.9027         0.8745       1.0810        0.2799       0.6484         0.5968
TangzhouWesternSandong       0.1476        0.0356       0.9521         0.9413       1.0905        0.2832       0.6574         0.5821
TingpaiWesternSandong        0.1667        0.0397       0.9438         0.9325       1.0524        0.2695       0.6771         0.6016
ZhongheCentralSandong        0.0810        0.0200       0.9714         0.9654       1.0143        0.2660       0.6798         0.6032
TOTAL                        0.1935        0.0470       0.9351         0.9234       1.0768        0.2772       0.6614         0.5950


** /proj/evolang2022/tiago/ST2022/data/castrosui/solutions-0.30.tsv
Language                  ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AntangWesternSandong         0.1561        0.0385       0.9460         0.9379       1.1720        0.3087       0.6352         0.5454
BanliangYangAn               0.3151        0.0821       0.8845         0.8661       1.3215        0.3498       0.5994         0.5099
DujiangEasternSandong        0.1369        0.0372       0.9587         0.9391       1.0828        0.2877       0.6579         0.5785
JiaoliPandong                0.4397        0.1041       0.8423         0.8409       1.3453        0.3437       0.5927         0.5122
JiarongSouthernSandong       0.2244        0.0572       0.9199         0.9080       1.2853        0.3390       0.6102         0.5138
JiuqianSouthernSandong       0.1529        0.0383       0.9451         0.9389       1.0987        0.2921       0.6471         0.5708
Pandong                      0.4125        0.0918       0.8563         0.8559       1.3498        0.3491       0.6083         0.5065
RenliEasternSandong          0.1369        0.0340       0.9540         0.9426       1.0860        0.2837       0.6440         0.5878
SanjiangEasternSandong       0.1146        0.0291       0.9600         0.9532       1.0860        0.2871       0.6367         0.5775
ShuigenCentralSandong        0.1083        0.0280       0.9635         0.9552       1.1051        0.2932       0.6377         0.5702
ShuiweiSouthernSandong       0.1821        0.0483       0.9329         0.9249       1.1502        0.3065       0.6423         0.5559
ShuiyaoSouthernSandong       0.2500        0.0611       0.9073         0.9005       1.3205        0.3452       0.5988         0.5119
TangnianYangAn               0.3077        0.0792       0.8881         0.8704       1.3141        0.3492       0.5967         0.5079
TangzhouWesternSandong       0.1592        0.0399       0.9453         0.9333       1.1656        0.3070       0.6312         0.5527
TingpaiWesternSandong        0.2293        0.0594       0.9213         0.9018       1.1146        0.2938       0.6538         0.5695
ZhongheCentralSandong        0.0987        0.0250       0.9656         0.9572       1.0955        0.2886       0.6541         0.5740
TOTAL                        0.2140        0.0533       0.9244         0.9141       1.1933        0.3140       0.6279         0.5465


** /proj/evolang2022/tiago/ST2022/data/castrosui/solutions-0.40.tsv
Language                  ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AntangWesternSandong         0.2542        0.0647       0.9231         0.8937       1.5300        0.4027       0.5398         0.4488
BanliangYangAn               0.3152        0.0812       0.8848         0.8658       1.5142        0.4001       0.5310         0.4580
DujiangEasternSandong        0.2201        0.0588       0.9370         0.9034       1.4187        0.3705       0.5616         0.4833
JiaoliPandong                0.4471        0.1062       0.8371         0.8345       1.6164        0.4235       0.5327         0.4339
JiarongSouthernSandong       0.3580        0.0936       0.8861         0.8488       1.5630        0.4053       0.5362         0.4442
JiuqianSouthernSandong       0.2542        0.0673       0.9212         0.8888       1.4484        0.3836       0.5560         0.4724
Pandong                      0.3834        0.0891       0.8583         0.8570       1.6354        0.4220       0.5345         0.4255
RenliEasternSandong          0.2019        0.0526       0.9398         0.9119       1.3750        0.3612       0.5695         0.5017
SanjiangEasternSandong       0.1894        0.0501       0.9413         0.9162       1.3837        0.3582       0.5561         0.5045
ShuigenCentralSandong        0.1289        0.0333       0.9575         0.9455       1.4320        0.3776       0.5533         0.4822
ShuiweiSouthernSandong       0.2899        0.0795       0.9037         0.8766       1.4758        0.3886       0.5505         0.4656
ShuiyaoSouthernSandong       0.4065        0.1042       0.8657         0.8332       1.5736        0.4073       0.5187         0.4413
TangnianYangAn               0.3170        0.0793       0.8875         0.8688       1.5387        0.4051       0.5182         0.4562
TangzhouWesternSandong       0.2560        0.0659       0.9220         0.8899       1.3804        0.3620       0.5545         0.4972
TingpaiWesternSandong        0.2892        0.0735       0.9134         0.8776       1.3711        0.3597       0.5707         0.4940
ZhongheCentralSandong        0.1487        0.0379       0.9583         0.9368       1.4700        0.3813       0.5272         0.4675
TOTAL                        0.2787        0.0711       0.9085         0.8843       1.4829        0.3881       0.5444         0.4673


** /proj/evolang2022/tiago/ST2022/data/castrosui/solutions-0.50.tsv
Language                  ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
AntangWesternSandong         0.4137        0.1112       0.8905         0.8204       1.7059        0.4514       0.5005         0.4011
BanliangYangAn               0.3863        0.0997       0.8644         0.8374       1.7528        0.4598       0.5065         0.3912
DujiangEasternSandong        0.3670        0.0990       0.9125         0.8362       1.7282        0.4528       0.5036         0.3946
JiaoliPandong                0.4977        0.1201       0.8303         0.8188       1.8218        0.4753       0.5028         0.3822
JiarongSouthernSandong       0.4145        0.1071       0.8779         0.8274       2.0385        0.5231       0.4807         0.3376
JiuqianSouthernSandong       0.3414        0.0902       0.8951         0.8545       1.8112        0.4702       0.4898         0.3811
Pandong                      0.4881        0.1163       0.8366         0.8149       1.9595        0.4983       0.4654         0.3602
RenliEasternSandong          0.2334        0.0602       0.9331         0.9024       1.7264        0.4500       0.4843         0.4038
SanjiangEasternSandong       0.2446        0.0641       0.9301         0.8962       1.7416        0.4522       0.5050         0.3991
ShuigenCentralSandong        0.2514        0.0662       0.9297         0.8915       1.7697        0.4656       0.4973         0.3857
ShuiweiSouthernSandong       0.3361        0.0904       0.8923         0.8565       1.7608        0.4604       0.4998         0.3948
ShuiyaoSouthernSandong       0.5076        0.1285       0.8409         0.7914       2.1345        0.5485       0.4725         0.3115
TangnianYangAn               0.4289        0.1104       0.8599         0.8183       1.7112        0.4508       0.5056         0.3987
TangzhouWesternSandong       0.4681        0.1242       0.8722         0.7963       1.8027        0.4794       0.4899         0.3795
TingpaiWesternSandong        0.5088        0.1357       0.8676         0.7830       1.6660        0.4418       0.5311         0.4176
ZhongheCentralSandong        0.2340        0.0619       0.9301         0.8965       1.7021        0.4448       0.4963         0.4030
TOTAL                        0.3826        0.0991       0.8852         0.8401       1.8020        0.4703       0.4957         0.3839


** /proj/evolang2022/tiago/ST2022/data/davletshinaztecan/solutions-0.10.tsv
Language              ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
------------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
ClassicalNahuatl         2.1667        0.3563       0.6160         0.4584       3.1667        0.5120       0.5077         0.2469
JalupaNahuat             1.5833        0.2989       0.6842         0.5579       2.5833        0.4877       0.5572         0.3606
MecayapanNahuat          2.0833        0.3012       0.6479         0.5326       3.0833        0.4786       0.5059         0.3960
NorthPueblaNahuatl       1.5833        0.2140       0.7013         0.6580       2.7500        0.4718       0.5305         0.3101
PajapanNahuat            1.7500        0.2837       0.6601         0.5717       2.8333        0.4999       0.5271         0.2962
Pipil                    1.6667        0.2494       0.7124         0.6433       3.1667        0.5665       0.4783         0.2839
Pochutec                 3.1667        0.5506       0.5038         0.3160       3.5833        0.6440       0.4513         0.1933
ProtoAztecan             2.2500        0.3802       0.6590         0.4879       3.8333        0.6444       0.4394         0.1806
TetelcingoNahuatl        2.4167        0.3450       0.6082         0.4532       2.6667        0.4442       0.5072         0.3915
TOTAL                    2.0741        0.3310       0.6436         0.5199       3.0741        0.5277       0.5005         0.2954


** /proj/evolang2022/tiago/ST2022/data/davletshinaztecan/solutions-0.20.tsv
Language              ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
------------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
ClassicalNahuatl         1.5417        0.2756       0.6790         0.5801       3.1667        0.5409       0.4181         0.2504
JalupaNahuat             1.7083        0.3315       0.6393         0.5128       3.1250        0.5932       0.4138         0.1989
MecayapanNahuat          1.7500        0.2710       0.6519         0.5950       3.0417        0.5202       0.4604         0.2913
NorthPueblaNahuatl       1.1250        0.1798       0.7494         0.7189       3.0417        0.5357       0.4277         0.2883
PajapanNahuat            1.2917        0.2350       0.7152         0.6207       2.8333        0.5228       0.4370         0.3028
Pipil                    1.5000        0.2705       0.6840         0.5964       2.7500        0.5174       0.4896         0.3040
Pochutec                 2.7500        0.5177       0.5084         0.2807       2.7391        0.5922       0.3879         0.2221
ProtoAztecan             1.8333        0.3359       0.6563         0.5089       3.4167        0.5520       0.4308         0.2609
TetelcingoNahuatl        2.1667        0.3297       0.6104         0.5144       3.3333        0.5391       0.4132         0.2905
TOTAL                    1.7407        0.3052       0.6549         0.5476       3.0497        0.5459       0.4310         0.2677


** /proj/evolang2022/tiago/ST2022/data/davletshinaztecan/solutions-0.30.tsv
Language              ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
------------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
ClassicalNahuatl         1.4286        0.2550       0.6840         0.6053       3.2000        0.5951       0.3241         0.2234
JalupaNahuat             1.7143        0.3163       0.6176         0.5421       3.1143        0.6058       0.3846         0.2006
MecayapanNahuat          1.5143        0.2214       0.6620         0.6375       3.1714        0.5736       0.3883         0.2614
NorthPueblaNahuatl       1.1143        0.1860       0.7186         0.7166       2.9714        0.5346       0.3760         0.2640
PajapanNahuat            1.3143        0.2473       0.6931         0.6235       2.8571        0.5835       0.3823         0.2469
Pipil                    1.5714        0.2679       0.6588         0.5943       3.0286        0.5646       0.3969         0.2652
Pochutec                 2.2571        0.4583       0.5563         0.3481       3.7714        0.7847       0.2718         0.0845
ProtoAztecan             1.8571        0.3432       0.6263         0.4794       3.2571        0.5714       0.3816         0.2716
TetelcingoNahuatl        2.4571        0.3674       0.5471         0.4733       3.5143        0.5694       0.3497         0.2266
TOTAL                    1.6921        0.2959       0.6404         0.5578       3.2095        0.5981       0.3617         0.2271


** /proj/evolang2022/tiago/ST2022/data/davletshinaztecan/solutions-0.40.tsv
Language              ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
------------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
ClassicalNahuatl         1.6809        0.2894       0.6466         0.5709       3.5957        0.6175       0.3216         0.1936
JalupaNahuat             2.3043        0.4333       0.5279         0.3646       3.5652        0.6932       0.3094         0.1461
MecayapanNahuat          1.6170        0.2618       0.6372         0.5950       3.2979        0.6150       0.3498         0.2121
NorthPueblaNahuatl       1.1778        0.2083       0.7096         0.6791       2.9556        0.5225       0.3677         0.2824
PajapanNahuat            1.3404        0.2620       0.6649         0.6203       2.9362        0.6009       0.3400         0.2430
Pipil                    1.5319        0.2831       0.6476         0.5726       3.3404        0.6425       0.3032         0.2080
Pochutec                 2.4000        0.4959       0.5244         0.2933       3.9375        0.8094       0.2895         0.0475
ProtoAztecan             2.3404        0.3982       0.5885         0.4044       3.7872        0.6756       0.2999         0.1763
TetelcingoNahuatl        2.3913        0.3666       0.5566         0.4797       3.4565        0.5963       0.3175         0.2379
TOTAL                    1.8649        0.3332       0.6115         0.5089       3.4302        0.6414       0.3221         0.1941


** /proj/evolang2022/tiago/ST2022/data/davletshinaztecan/solutions-0.50.tsv
Language              ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
------------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
ClassicalNahuatl         2.2373        0.3300       0.6050         0.5128       4.0000        0.6402       0.3040         0.1842
JalupaNahuat             2.3214        0.4226       0.5197         0.3877       4.0536        0.7512       0.2525         0.0819
MecayapanNahuat          2.0517        0.3201       0.6038         0.5186       3.9828        0.6597       0.2888         0.1909
NorthPueblaNahuatl       1.3509        0.2288       0.6949         0.6435       3.7895        0.6207       0.2915         0.1895
PajapanNahuat            1.4237        0.2731       0.6750         0.6020       3.5763        0.6621       0.2889         0.1870
Pipil                    1.5172        0.2787       0.6633         0.5542       3.8621        0.6627       0.2820         0.1966
Pochutec                 2.4773        0.5155       0.5096         0.2764       3.8788        0.8618       0.2720         0.0223
ProtoAztecan             2.6780        0.4295       0.5259         0.3738       4.5424        0.7174       0.2547         0.1138
TetelcingoNahuatl        2.7414        0.4179       0.5316         0.4118       4.5000        0.6494       0.2628         0.1780
TOTAL                    2.0888        0.3574       0.5921         0.4756       4.0206        0.6917       0.2775         0.1493


** /proj/evolang2022/tiago/ST2022/data/felekesemitic/solutions-0.10.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Amharic          1.0909        0.2053       0.7237         0.6753       3.2121        0.5980       0.3737         0.2234
Argobba          1.7879        0.3291       0.6467         0.4879       3.5758        0.6754       0.3604         0.1586
Chaha            0.5000        0.0964       0.8719         0.8436       2.6765        0.5070       0.4562         0.2982
Endegagn         2.0769        0.4101       0.5680         0.4247       3.1923        0.6184       0.3699         0.2288
Ezha             0.7647        0.1514       0.8306         0.7508       2.9118        0.5428       0.4278         0.2839
Geez             2.3548        0.4161       0.5425         0.4058       4.1935        0.7256       0.3317         0.1008
Gumer            0.8529        0.1671       0.8341         0.7275       2.6471        0.5098       0.4444         0.3066
Gura             0.5588        0.0988       0.8599         0.8312       2.6176        0.5191       0.4338         0.3313
Gyeto            1.1562        0.2118       0.7327         0.6633       2.9688        0.5524       0.3759         0.2983
Harari           2.6452        0.4882       0.5125         0.3452       3.7097        0.6811       0.3256         0.1392
Inor             1.2727        0.2388       0.7198         0.6376       3.2424        0.5751       0.3976         0.2385
Kistane          1.3235        0.2430       0.6890         0.6314       3.1765        0.6021       0.3734         0.2131
Mesqan           0.9706        0.1859       0.7623         0.7235       3.1471        0.5991       0.3969         0.2073
Muher            1.2353        0.2144       0.7316         0.6901       2.8235        0.5300       0.4447         0.2664
Silte            1.3939        0.2905       0.6916         0.5703       3.7576        0.6855       0.3304         0.1585
Tigre            2.5000        0.4652       0.5047         0.3489       4.1000        0.7246       0.3081         0.0799
Tigrigna         2.4688        0.4197       0.5500         0.3692       4.1562        0.7145       0.2992         0.1238
Wolane           1.3235        0.2691       0.7013         0.5942       3.5294        0.6592       0.3334         0.1676
Zway             1.5000        0.2999       0.6854         0.5475       3.2353        0.6286       0.3627         0.2035
TOTAL            1.4619        0.2737       0.6925         0.5931       3.3091        0.6131       0.3761         0.2120


** /proj/evolang2022/tiago/ST2022/data/felekesemitic/solutions-0.20.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Amharic          1.4286        0.2677       0.6458         0.6095       3.9107        0.6975       0.2906         0.1599
Argobba          2.0566        0.3730       0.5501         0.4355       3.9434        0.7267       0.2568         0.0867
Chaha            0.6716        0.1423       0.8208         0.7662       3.3433        0.5874       0.3608         0.2543
Endegagn         2.0000        0.4040       0.5479         0.4488       3.8980        0.7010       0.3029         0.1741
Ezha             1.0000        0.2059       0.7676         0.6709       3.1231        0.5689       0.4001         0.2722
Geez             2.7826        0.4690       0.4703         0.3503       4.0435        0.6803       0.2858         0.1207
Gumer            1.1912        0.2447       0.7465         0.6211       3.0882        0.5711       0.3617         0.2669
Gura             0.7206        0.1511       0.8158         0.7584       3.0588        0.5543       0.3627         0.2800
Gyeto            1.5077        0.2774       0.6416         0.5834       3.5077        0.5983       0.3405         0.2462
Harari           3.5306        0.6271       0.3868         0.1952       4.0612        0.7867       0.2386         0.0962
Inor             1.5077        0.2736       0.6687         0.5901       3.6154        0.6194       0.3359         0.2264
Kistane          1.4462        0.2731       0.6632         0.5739       3.6154        0.6693       0.3086         0.1458
Mesqan           1.1970        0.2215       0.7182         0.6544       3.3182        0.5926       0.3592         0.2495
Muher            1.4328        0.2646       0.6728         0.6015       3.5224        0.6557       0.3108         0.1747
Silte            1.6935        0.3266       0.6088         0.5306       4.0484        0.6994       0.2767         0.1414
Tigre            2.9545        0.5378       0.4409         0.2755       4.0227        0.7022       0.2629         0.1127
Tigrigna         2.6136        0.4356       0.5193         0.3518       4.4318        0.7093       0.2718         0.1007
Wolane           1.8636        0.3390       0.5660         0.5163       4.1212        0.6946       0.2731         0.1607
Zway             1.7692        0.3299       0.6199         0.5080       3.8923        0.7115       0.2553         0.1511
TOTAL            1.7562        0.3244       0.6248         0.5285       3.7140        0.6593       0.3081         0.1800


** /proj/evolang2022/tiago/ST2022/data/felekesemitic/solutions-0.30.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Amharic          1.8421        0.3445       0.5777         0.4992       4.2368        0.6982       0.2612         0.1229
Argobba          2.1714        0.4114       0.5113         0.4094       4.1429        0.7052       0.2585         0.1370
Chaha            0.8913        0.1813       0.7873         0.7040       3.6304        0.5936       0.3262         0.2366
Endegagn         2.3000        0.4496       0.4978         0.4090       3.9857        0.6608       0.2908         0.1872
Ezha             1.2903        0.2550       0.7138         0.5795       3.6559        0.6386       0.3121         0.1905
Geez             2.5410        0.4400       0.4717         0.3741       4.3770        0.7125       0.2444         0.1153
Gumer            1.3763        0.2603       0.7278         0.5865       3.2258        0.5781       0.3420         0.2442
Gura             0.8804        0.1795       0.7922         0.7113       3.4783        0.5853       0.3359         0.2431
Gyeto            1.5714        0.2809       0.6279         0.5725       3.8352        0.6342       0.3013         0.1943
Harari           3.1897        0.5867       0.4087         0.2303       4.0517        0.7838       0.2242         0.1188
Inor             2.2667        0.3755       0.5553         0.4413       4.1444        0.6628       0.2771         0.1722
Kistane          1.6966        0.3344       0.6069         0.4881       3.7865        0.7117       0.2580         0.1412
Mesqan           1.4946        0.2882       0.6774         0.5500       4.0000        0.6678       0.2885         0.1779
Muher            1.5824        0.2881       0.6271         0.5844       3.7473        0.6388       0.3125         0.1867
Silte            1.8588        0.3473       0.5779         0.4907       4.6235        0.7739       0.2327         0.1045
Tigre            3.2712        0.5994       0.3977         0.2146       4.1864        0.7473       0.2306         0.0893
Tigrigna         2.6964        0.4505       0.4969         0.3277       4.6250        0.7125       0.2531         0.1005
Wolane           2.4000        0.4327       0.5266         0.3890       4.5111        0.7757       0.2190         0.1128
Zway             1.8537        0.3386       0.5895         0.5037       4.4878        0.7591       0.2382         0.1186
TOTAL            1.9565        0.3602       0.5880         0.4771       4.0385        0.6863       0.2740         0.1576


** /proj/evolang2022/tiago/ST2022/data/felekesemitic/solutions-0.40.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Amharic          1.7640        0.3307       0.5963         0.5037       4.5506        0.7689       0.2414         0.0995
Argobba          2.0125        0.3763       0.5457         0.4558       4.6375        0.7835       0.2129         0.0990
Chaha            1.4786        0.2955       0.6848         0.5300       4.0513        0.6614       0.2849         0.1789
Endegagn         2.4944        0.4634       0.4751         0.3744       4.4045        0.7466       0.2473         0.1147
Ezha             1.6500        0.3243       0.6767         0.4865       4.1917        0.7005       0.2631         0.1470
Geez             2.4776        0.4174       0.4825         0.4047       4.5970        0.7519       0.2327         0.0871
Gumer            1.7479        0.3381       0.6785         0.4877       4.2605        0.7236       0.2395         0.1185
Gura             1.2174        0.2433       0.7327         0.6040       4.1130        0.6749       0.2694         0.1669
Gyeto            2.0261        0.3720       0.5849         0.4662       4.2435        0.7129       0.2512         0.1137
Harari           3.1538        0.5645       0.3804         0.2725       4.3846        0.8088       0.2004         0.0756
Inor             2.6396        0.4279       0.5165         0.3782       4.6577        0.7359       0.2445         0.0951
Kistane          2.2636        0.4400       0.5063         0.3649       4.3273        0.8081       0.2037         0.0471
Mesqan           1.6148        0.3122       0.6483         0.5094       4.6230        0.7387       0.2192         0.1164
Muher            2.1597        0.4002       0.5627         0.3837       4.4370        0.7460       0.2223         0.1160
Silte            1.9239        0.3576       0.5598         0.4773       4.7500        0.7725       0.2137         0.0974
Tigre            3.0769        0.5502       0.4038         0.2570       4.1077        0.7397       0.2280         0.1041
Tigrigna         2.5738        0.4330       0.5073         0.3456       4.7213        0.7253       0.2368         0.1006
Wolane           1.8384        0.3607       0.5575         0.4836       4.5758        0.7817       0.2144         0.0927
Zway             2.1538        0.4131       0.5167         0.4198       4.4725        0.7916       0.2009         0.0757
TOTAL            2.1193        0.3905       0.5588         0.4318       4.4266        0.7459       0.2330         0.1077


** /proj/evolang2022/tiago/ST2022/data/felekesemitic/solutions-0.50.tsv
Language      ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
----------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Amharic          2.2233        0.4108       0.5192         0.4145       4.7670        0.7637       0.2254         0.0935
Argobba          2.5824        0.4652       0.4658         0.3636       4.8791        0.7696       0.1994         0.0829
Chaha            3.2941        0.6353       0.4245         0.1746       4.8971        0.7621       0.2282         0.1004
Endegagn         2.8298        0.5203       0.4227         0.3094       4.3191        0.7572       0.2222         0.1063
Ezha             2.9778        0.5609       0.4526         0.2497       4.9333        0.7615       0.2292         0.1179
Geez             2.5789        0.4621       0.4463         0.3639       4.6316        0.7380       0.2354         0.0952
Gumer            4.2014        0.7359       0.3145         0.0648       4.7698        0.8475       0.1688         0.0324
Gura             2.5522        0.5069       0.5475         0.2512       4.8284        0.7619       0.2302         0.0811
Gyeto            2.8425        0.5420       0.4645         0.2570       4.4724        0.7899       0.1995         0.0762
Harari           3.3333        0.5958       0.3675         0.2272       4.6027        0.8333       0.1983         0.0738
Inor             3.1463        0.5193       0.4315         0.2831       4.4959        0.7773       0.2084         0.0974
Kistane          2.4833        0.4784       0.4729         0.3251       4.2417        0.7615       0.1929         0.1089
Mesqan           3.2536        0.5979       0.4423         0.2010       5.0217        0.8459       0.1813         0.0808
Muher            3.0970        0.5680       0.4505         0.2345       4.4328        0.7810       0.1877         0.0831
Silte            2.2041        0.4181       0.5272         0.4050       5.0612        0.7964       0.2094         0.0735
Tigre            3.5200        0.6186       0.3436         0.1907       4.5733        0.8063       0.2079         0.0577
Tigrigna         3.0429        0.5068       0.4581         0.2469       4.8571        0.7358       0.2292         0.0947
Wolane           2.4057        0.4545       0.4955         0.3785       4.8318        0.7873       0.2028         0.1058
Zway             2.4757        0.4694       0.4760         0.3436       4.3301        0.8219       0.1893         0.0745
TOTAL            2.8971        0.5298       0.4486         0.2781       4.6814        0.7841       0.2077         0.0861


** /proj/evolang2022/tiago/ST2022/data/hantganbangime/solutions-0.10.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Bankan_Tey          1.4048        0.3255       0.6085         0.5561       2.8571        0.6540       0.2783         0.1864
Ben_Tey             1.2391        0.3006       0.6047         0.5620       3.0217        0.6949       0.2694         0.1545
Bunoge              1.7347        0.3815       0.5641         0.4547       3.2653        0.7231       0.2848         0.1446
Jamsay              0.9750        0.2743       0.6746         0.5992       2.5000        0.6126       0.3248         0.2416
Mombo               1.3548        0.3462       0.6031         0.5118       3.4194        0.7519       0.2517         0.1085
Najamba             1.3030        0.3389       0.6262         0.5011       2.8636        0.6533       0.2981         0.1748
Nanga               1.2353        0.3111       0.6276         0.5468       2.6235        0.5924       0.3282         0.2381
Penange             1.5088        0.3806       0.6015         0.4632       3.2982        0.7501       0.2705         0.0993
Perge_Tegu          0.9565        0.2474       0.6873         0.6463       2.6630        0.6082       0.3097         0.2319
Tebul_Ure           1.1758        0.3103       0.6313         0.5675       2.8571        0.6494       0.2804         0.2083
Tiranige_Diga       1.5303        0.3969       0.5610         0.4565       3.2576        0.6974       0.2526         0.1838
Togo_Kan            1.0267        0.2768       0.6488         0.6174       2.6000        0.6562       0.3179         0.1927
Tommo_So            1.3457        0.3112       0.6573         0.5721       2.7778        0.6256       0.2989         0.2215
Toro_Tegu           1.7313        0.4110       0.5358         0.4398       2.7313        0.6649       0.3132         0.2098
Yanda_Dom           1.4937        0.3378       0.6161         0.5246       2.8861        0.6512       0.2830         0.2093
Yorno_So            0.9529        0.2644       0.6859         0.6189       2.4941        0.6241       0.3051         0.2027
TOTAL               1.3105        0.3259       0.6209         0.5399       2.8823        0.6631       0.2917         0.1880


** /proj/evolang2022/tiago/ST2022/data/hantganbangime/solutions-0.20.tsv
Language         ED (base)    NED (base)    B2 (base)    BLEU (base)    ED (mine)    NED (mine)    B2 (mine)    BLEU (mine)
-------------  -----------  ------------  -----------  -------------  -----------  ------------  -----------  -------------
Bankan_Tey          1.8478        0.4169       0.5315         0.4367       3.1087        0.7226       0.2166         0.1444
Ben_Tey             1.4459        0.3379       0.5390         0.5186       3.1959        0.7327       0.2177         0.1437
Bunoge              1.8333        0.4032       0.5325         0.4315       3.3750        0.7372       0.2343         0.1306
Jamsay              1.0571        0.2696       0.6498         0.6107       2.9857        0.7311       0.2393         0.1398
